date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:44:34	381/381	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2015%20Aug%202018%2017:44:34%20UTC	http://www.mervynupton.co.uk/%22//www.youtube.com/embed/Ogm2MSDgkWI?wmode=opaque&amp;enablejsapi=1\%22	Desktop/mervyn-upton/www.mervynupton.co.uk/_/www.youtube.com/embed/Ogm2MSDgkWI.619ae1.delayed	(from http://www.mervynupton.co.uk/films/)
18:44:35	25835/25835	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220baa799171fdff4c6ea79b5de252d482%22	http://www.mervynupton.co.uk/films/%22//www.youtube.com/embed/Ogm2MSDgkWI?wmode=opaque&enablejsapi=1%22	Desktop/mervyn-upton/www.mervynupton.co.uk/films/_/www.youtube.com/embed/Ogm2MSDgkWI.628344.delayed	(from http://www.mervynupton.co.uk/films/)
18:44:36	381/381	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2015%20Aug%202018%2017:44:36%20UTC	http://www.mervynupton.co.uk/%22//www.youtube.com/embed/WTZW5E1cbJo?wmode=opaque&amp;enablejsapi=1\%22	Desktop/mervyn-upton/www.mervynupton.co.uk/_/www.youtube.com/embed/WTZW5E1cbJo.639ae1.delayed	(from http://www.mervynupton.co.uk/films/)
18:44:37	25835/25835	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220baa799171fdff4c6ea79b5de252d482%22	http://www.mervynupton.co.uk/films/%22//www.youtube.com/embed/WTZW5E1cbJo?wmode=opaque&enablejsapi=1%22	Desktop/mervyn-upton/www.mervynupton.co.uk/films/_/www.youtube.com/embed/WTZW5E1cbJo.648344.delayed	(from http://www.mervynupton.co.uk/films/)
18:44:38	381/381	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2015%20Aug%202018%2017:44:38%20UTC	http://www.mervynupton.co.uk/%22//www.youtube.com/embed/p-xqprfKI2c?wmode=opaque&amp;enablejsapi=1\%22	Desktop/mervyn-upton/www.mervynupton.co.uk/_/www.youtube.com/embed/p-xqprfKI2c.659ae1.delayed	(from http://www.mervynupton.co.uk/films/)
18:44:39	25835/25835	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220baa799171fdff4c6ea79b5de252d482%22	http://www.mervynupton.co.uk/films/%22//www.youtube.com/embed/p-xqprfKI2c?wmode=opaque&enablejsapi=1%22	Desktop/mervyn-upton/www.mervynupton.co.uk/films/_/www.youtube.com/embed/p-xqprfKI2c.668344.delayed	(from http://www.mervynupton.co.uk/films/)
18:44:40	381/381	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2015%20Aug%202018%2017:44:40%20UTC	http://www.mervynupton.co.uk/%22//www.youtube.com/embed/ybsX_I-6h9I?wmode=opaque&amp;enablejsapi=1\%22	Desktop/mervyn-upton/www.mervynupton.co.uk/_/www.youtube.com/embed/ybsX_I-6h9I.679ae1.delayed	(from http://www.mervynupton.co.uk/films/)
18:44:42	25835/25835	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220baa799171fdff4c6ea79b5de252d482%22	http://www.mervynupton.co.uk/films/%22//www.youtube.com/embed/ybsX_I-6h9I?wmode=opaque&enablejsapi=1%22	Desktop/mervyn-upton/www.mervynupton.co.uk/films/_/www.youtube.com/embed/ybsX_I-6h9I.688344.delayed	(from http://www.mervynupton.co.uk/films/)
18:44:42	381/381	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2015%20Aug%202018%2017:44:42%20UTC	http://www.mervynupton.co.uk/%22//www.youtube.com/embed/6_K2Xag7uZw?wmode=opaque&amp;enablejsapi=1\%22	Desktop/mervyn-upton/www.mervynupton.co.uk/_/www.youtube.com/embed/6_K2Xag7uZw.699ae1.delayed	(from http://www.mervynupton.co.uk/films/)
18:44:43	25835/25835	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220baa799171fdff4c6ea79b5de252d482%22	http://www.mervynupton.co.uk/films/%22//www.youtube.com/embed/6_K2Xag7uZw?wmode=opaque&enablejsapi=1%22	Desktop/mervyn-upton/www.mervynupton.co.uk/films/_/www.youtube.com/embed/6_K2Xag7uZw.6a8344.delayed	(from http://www.mervynupton.co.uk/films/)
18:44:44	381/381	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2015%20Aug%202018%2017:44:44%20UTC	http://www.mervynupton.co.uk/%22//www.youtube.com/embed/mXGwGNCyK0Y?wmode=opaque&amp;enablejsapi=1\%22	Desktop/mervyn-upton/www.mervynupton.co.uk/_/www.youtube.com/embed/mXGwGNCyK0Y.6b9ae1.delayed	(from http://www.mervynupton.co.uk/films/)
18:44:45	25835/25835	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220baa799171fdff4c6ea79b5de252d482%22	http://www.mervynupton.co.uk/films/%22//www.youtube.com/embed/mXGwGNCyK0Y?wmode=opaque&enablejsapi=1%22	Desktop/mervyn-upton/www.mervynupton.co.uk/films/_/www.youtube.com/embed/mXGwGNCyK0Y.6c8344.delayed	(from http://www.mervynupton.co.uk/films/)
18:44:46	381/381	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2015%20Aug%202018%2017:44:46%20UTC	http://www.mervynupton.co.uk/%22//www.youtube.com/embed/PBCm0j2DlW8?wmode=opaque&amp;enablejsapi=1\%22	Desktop/mervyn-upton/www.mervynupton.co.uk/_/www.youtube.com/embed/PBCm0j2DlW8.6d9ae1.delayed	(from http://www.mervynupton.co.uk/films/)
